"metric","count","exact","withinTolerance","outsideTolerance","nullPairs","maxAbs","maxRelative"
"trial.rpm","3402","3402","3402","0","0","0","0"
"trial.signedForceBalanceResidualN","3402","3402","3402","0","0","0","0"
"trial.sourceDiagnostics.length","3402","3402","3402","0","0","0","0"
"trial.sourceDiagnostics.[]","13608","13608","13608","0","0","0","0"
"trial.status","3402","3402","3402","0","0","0","0"
"trial.tipSpeedMS","3402","3402","3402","0","0","0","0"
"trial.validity","3402","3402","3402","0","0","0","0"
"method.acceptanceRecord","3402","3402","3402","0","0","0","0"
"method.assumptions.length","3402","3402","3402","0","0","0","0"
"method.assumptions.[]","17010","17010","17010","0","0","0","0"
"method.capacityMeaning","3402","3402","3402","0","0","0","0"
"method.compartmentHeightM","3402","3402","3402","0","0","0","0"
"method.diameterM","3402","3402","3402","0","0","0","0"
"method.epsilonWKg","3402","3402","3402","0","0","0","0"
"method.governing.branchStatus","3402","3402","3402","0","0","0","0"
"method.governing.capacityMS","3402","3402","3402","0","0","0","0"
"method.governing.characteristicFactor","3402","3402","3402","0","0","0","0"
"method.governing.characteristicRe","3402","3402","3402","0","0","0","0"
"method.governing.characteristicSpeedMS","3402","3402","3402","0","0","0","0"
"method.governing.coefficient","3402","3402","3402","0","0","0","0"
"method.governing.continuation.length","3402","3402","3402","0","0","0","0"
"method.governing.continuation.[].flowFraction","18252","18252","18252","0","0","0","0"
"method.governing.continuation.[].holdup","18252","18252","18252","0","0","0","0"
"method.governing.d32M","3402","3402","3402","0","0","0","0"
"method.governing.diagnostics.eotvos","3402","3402","3402","0","0","0","0"
"method.governing.diagnostics.ohnesorgeContinuous","3402","3402","3402","0","0","0","0"
"method.governing.diagnostics.ohnesorgeDispersed","3402","3402","3402","0","0","0","0"
"method.governing.diagnostics.swarmReAtFlood","3402","3402","3402","0","0","0","0"
"method.governing.diagnostics.weberTerminal","3402","3402","3402","0","0","0","0"
"method.governing.floodHoldup","3402","3402","3402","0","0","0","0"
"method.governing.forceBalanceResidualN","3402","3402","3402","0","0","0","0"
"method.governing.interfaceScenario","3402","3402","3402","0","0","0","0"
"method.governing.interfacialAreaM2M3","3402","3402","3402","0","3074","0","0"
"method.governing.loading","3402","3402","3402","0","0","0","0"
"method.governing.operatingBalanceResidualMS","3402","3402","3402","0","3074","0","0"
"method.governing.operatingHoldup","3402","3402","3402","0","3074","0","0"
"method.governing.operatingRoots.length","3402","3402","3402","0","0","0","0"
"method.governing.operatingSpeeds","3074","3074","3074","0","3074","0","0"
"method.governing.signedOperatingVelocities","3074","3074","3074","0","3074","0","0"
"method.governing.signedTerminalVelocityMS","3402","3402","3402","0","0","0","0"
"method.governing.terminalRe","3402","3402","3402","0","0","0","0"
"method.governing.terminalSpeedMS","3402","3402","3402","0","0","0","0"
"method.jc","3402","3402","3402","0","0","0","0"
"method.jd","3402","3402","3402","0","0","0","0"
"method.maximumLoading","3402","3402","3402","0","0","0","0"
"method.methodId","3402","3402","3402","0","0","0","0"
"method.numericalPolicy.bisectionIterations","3402","3402","3402","0","0","0","0"
"method.numericalPolicy.capacityRefinementIterations","3402","3402","3402","0","0","0","0"
"method.numericalPolicy.continuationSteps","3402","3402","3402","0","0","0","0"
