segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
244,5,C,NHB,0.626409493000,0.000110862000,0.000176980076514,-0.000176980076514,-0.001085756313694,NHB,-0.002,-0.001,0.085756313693734,0.914243686306266
245,5,C,NHB,0.626409493000,0.000011806000,0.000018847096240,-0.000018847096240,-0.000823056620505,NHB,-0.001,0.000,0.823056620505345,0.176943379494655
246,5,C,NHB,0.626409493000,0.000590507000,0.000942685266745,-0.000942685266745,-0.000568295192370,NHB,-0.001,0.000,0.568295192370143,0.431704807629857
247,5,C,NHB,0.626409493000,0.000390777000,0.000623836331293,-0.000623836331293,-0.001005267310695,NHB,-0.002,-0.001,0.005267310695340,0.994732689304660
248,5,C,NHB,0.626409493000,0.000035914000,0.000057333103028,-0.000057333103028,-0.001308848500711,NHB,-0.002,-0.001,0.308848500711316,0.691151499288684
249,5,C,NHB,0.626409493000,0.000367333000,0.000586410333983,-0.000586410333983,-0.000932168692263,NHB,-0.001,0.000,0.932168692262995,0.067831307737005
250,5,C,NHB,0.626409493000,0.000736685000,0.001176043799196,-0.001176043799196,-0.001354411742505,NHB,-0.002,-0.001,0.354411742504741,0.645588257495259
251,5,C,NHB,0.626409493000,0.000595563000,0.000950756664219,-0.000950756664219,-0.001522636954535,NHB,-0.002,-0.001,0.522636954535267,0.477363045464733
252,5,C,NHB,0.626409493000,-0.000459926000,-0.000734225782239,0.000734225782239,0.001485662861878,NHB,0.001,0.002,0.514337138121590,0.485662861878410
253,5,C,NHB,0.626409493000,-0.000305968000,-0.000488447259212,0.000488447259212,-0.000043776913459,NHB,-0.001,0.000,0.043776913459335,0.956223086540665
254,5,C,NHB,0.626409493000,-0.000348092000,-0.000555694005103,0.000555694005103,0.001369156583444,NHB,0.001,0.002,0.630843416556488,0.369156583443512
255,5,C,NHB,0.626409493000,0.000540638000,0.000863074404270,-0.000863074404270,-0.000991262961518,NHB,-0.001,0.000,0.991262961517937,0.008737038482063
256,5,C,NHB,0.626409493000,0.000564444000,0.000901078298314,-0.000901078298314,-0.001157298579904,NHB,-0.002,-0.001,0.157298579903570,0.842701420096430
257,5,C,NHB,0.604526425000,-0.000311823000,-0.000515813680105,0.000515813680105,0.000291601219361,NHB,0.000,0.001,0.708398780639444,0.291601219360556
258,5,C,NHB,0.604526425000,0.000470283000,0.000777936216767,-0.000777936216767,-0.001056116569935,NHB,-0.002,-0.001,0.056116569935179,0.943883430064821
259,5,C,NHB,0.604526425000,-0.000090088000,-0.000149022435206,0.000149022435206,0.001264920816564,NHB,0.001,0.002,0.735079183436077,0.264920816563923
260,5,C,NHB,0.604526425000,0.000498001000,0.000823786983340,-0.000823786983340,-0.000909428049206,NHB,-0.001,0.000,0.909428049205666,0.090571950794334
261,5,C,NHB,0.604526425000,0.000693847000,0.001147752970435,-0.001147752970435,-0.000847643428098,NHB,-0.001,0.000,0.847643428098089,0.152356571901911
262,5,C,NHB,0.604526425000,0.000071297000,0.000117938599624,-0.000117938599624,-0.001598568956338,NHB,-0.002,-0.001,0.598568956337848,0.401431043662152
263,5,C,NHB,0.604526425000,-0.000444019000,-0.000734490638685,0.000734490638685,0.000027684710031,NHB,0.000,0.001,0.972315289969102,0.027684710030898
264,5,C,NHB,0.604526425000,-0.000396126000,-0.000655266641156,0.000655266641156,0.001448120423857,NHB,0.001,0.002,0.551879576142746,0.448120423857254
