segment,atom,element,atom_class,area_square_angstrom,native_xtb_charge_electron,native_xtb_raw_sigma,tm_nist_raw_sigma,nist_hsieh_averaged_sigma,pre_probability_partition,left_bin,right_bin,left_weight,right_weight
333,7,C,NHB,0.610796623000,-0.000113333000,-0.000185549486903,0.000185549486903,0.000502624792523,NHB,0.000,0.001,0.497375207476939,0.502624792523061
334,7,C,NHB,0.610796623000,-0.000315471000,-0.000516491067764,0.000516491067764,0.000314972071698,NHB,0.000,0.001,0.685027928301725,0.314972071698275
335,7,C,NHB,0.610796623000,-0.000419821000,-0.000687333531639,0.000687333531639,0.000513345080535,NHB,0.000,0.001,0.486654919465315,0.513345080534685
336,7,C,NHB,0.610796623000,-0.000153250000,-0.000250901845605,0.000250901845605,0.000119521317709,NHB,0.000,0.001,0.880478682290775,0.119521317709225
337,7,C,NHB,0.610796623000,0.000044928000,0.000073556398821,-0.000073556398821,-0.000139133431879,NHB,-0.001,0.000,0.139133431878971,0.860866568121029
338,7,C,NHB,0.610796623000,0.000195691000,0.000320386512681,-0.000320386512681,-0.000403401833259,NHB,-0.001,0.000,0.403401833259474,0.596598166740526
339,8,C,NHB,0.241185721000,-0.000055504000,-0.000230129709876,0.000230129709876,-0.000719987481506,NHB,-0.001,0.000,0.719987481506450,0.280012518493550
340,8,C,NHB,0.241185721000,-0.000170956000,-0.000708814764370,0.000708814764370,0.000486925153266,NHB,0.000,0.001,0.513074846734191,0.486925153265809
341,8,C,NHB,0.241185721000,-0.000152067000,-0.000630497524354,0.000630497524354,0.000490041001270,NHB,0.000,0.001,0.509958998729589,0.490041001270411
342,8,C,NHB,0.617017436000,-0.000001237000,-0.000002004805582,0.000002004805582,-0.000051742141708,NHB,-0.001,0.000,0.051742141708142,0.948257858291858
343,8,C,NHB,0.617017436000,-0.000108154000,-0.000175285160013,0.000175285160013,0.000074633962152,NHB,0.000,0.001,0.925366037848211,0.074633962151789
344,8,C,NHB,0.617017436000,0.000029654000,0.000048060230181,-0.000048060230181,-0.000081886047939,NHB,-0.001,0.000,0.081886047939294,0.918113952060706
345,8,C,NHB,0.617017436000,0.000027251000,0.000044165688699,-0.000044165688699,-0.000096118062222,NHB,-0.001,0.000,0.096118062222148,0.903881937777852
346,8,C,NHB,0.517349488000,-0.000318075000,-0.000614816497122,0.000614816497122,0.000503340376439,NHB,0.000,0.001,0.496659623561100,0.503340376438900
347,8,C,NHB,0.517349488000,-0.000299360000,-0.000578641724683,0.000578641724683,0.000391239653855,NHB,0.000,0.001,0.608760346144716,0.391239653855284
348,8,C,NHB,0.517349488000,-0.000394454000,-0.000762451706534,0.000762451706534,0.000521255391097,NHB,0.000,0.001,0.478744608902940,0.521255391097060
349,8,C,NHB,0.517349488000,-0.000333838000,-0.000645285262175,0.000645285262175,0.000427878145175,NHB,0.000,0.001,0.572121854825010,0.427878145174990
350,8,C,NHB,0.517349488000,-0.000369288000,-0.000713807606977,0.000713807606977,0.000526739761076,NHB,0.000,0.001,0.473260238924128,0.526739761075872
351,8,C,NHB,0.517349488000,-0.000265912000,-0.000513989104402,0.000513989104402,0.000407766829225,NHB,0.000,0.001,0.592233170774815,0.407766829225185
352,8,C,NHB,0.517349488000,-0.000333789000,-0.000645190548637,0.000645190548637,0.000495428863473,NHB,0.000,0.001,0.504571136527133,0.495428863472867
353,8,C,NHB,0.517349488000,-0.000264760000,-0.000511762369812,0.000511762369812,0.000363131290149,NHB,0.000,0.001,0.636868709851050,0.363131290148950
354,8,C,NHB,0.517349488000,-0.000029072000,-0.000056194121526,0.000056194121526,-0.000675730606409,NHB,-0.001,0.000,0.675730606408657,0.324269393591343
355,8,C,NHB,0.517349488000,0.000035532000,0.000068680845007,-0.000068680845007,-0.000576812217312,NHB,-0.001,0.000,0.576812217312439,0.423187782687561
356,8,C,NHB,0.517349488000,-0.000102053000,-0.000197261237069,0.000197261237069,-0.000708477312782,NHB,-0.001,0.000,0.708477312782194,0.291522687217806
357,8,C,NHB,0.517349488000,-0.000023839000,-0.000046079102334,0.000046079102334,-0.000600496482437,NHB,-0.001,0.000,0.600496482437399,0.399503517562601
358,8,C,NHB,0.626409493000,0.000180897000,0.000288783937698,-0.000288783937698,-0.000287638148519,NHB,-0.001,0.000,0.287638148518758,0.712361851481242
359,8,C,NHB,0.626409493000,0.000100055000,0.000159727783691,-0.000159727783691,-0.000190731939070,NHB,-0.001,0.000,0.190731939070017,0.809268060929983
360,8,C,NHB,0.626409493000,0.000169358000,0.000270363080210,-0.000270363080210,-0.000288390270801,NHB,-0.001,0.000,0.288390270801206,0.711609729198794
361,8,C,NHB,0.626409493000,0.000175468000,0.000280117083092,-0.000280117083092,-0.000289662911879,NHB,-0.001,0.000,0.289662911878777,0.710337088121223
362,8,C,NHB,0.626409493000,0.000044332000,0.000070771596688,-0.000070771596688,-0.000064701966504,NHB,-0.001,0.000,0.064701966504014,0.935298033495986
363,8,C,NHB,0.626409493000,-0.000008696000,-0.000013882292809,0.000013882292809,-0.000001981231382,NHB,-0.001,0.000,0.001981231381570,0.998018768618430
364,8,C,NHB,0.626409493000,0.000152660000,0.000243706396065,-0.000243706396065,-0.000219303168817,NHB,-0.001,0.000,0.219303168817218,0.780696831182782
365,8,C,NHB,0.626409493000,0.000073795000,0.000117806324496,-0.000117806324496,-0.000129230970218,NHB,-0.001,0.000,0.129230970217712,0.870769029782288
366,8,C,NHB,0.626409493000,-0.000011148000,-0.000017796665160,0.000017796665160,0.000048324644047,NHB,0.000,0.001,0.951675355953282,0.048324644046718
367,8,C,NHB,0.626409493000,-0.000054395000,-0.000086836168046,0.000086836168046,0.000255011564413,NHB,0.000,0.001,0.744988435587007,0.255011564412993
368,8,C,NHB,0.626409493000,-0.000000026000,-0.000000041506395,0.000000041506395,0.000309171601844,NHB,0.000,0.001,0.690828398155717,0.309171601844283
369,8,C,NHB,0.626409493000,-0.000167005000,-0.000266606751440,0.000266606751440,0.000190544536652,NHB,0.000,0.001,0.809455463348388,0.190544536651612
370,8,C,NHB,0.626409493000,-0.000000070000,-0.000000111747987,0.000000111747987,0.000015124335763,NHB,0.000,0.001,0.984875664236926,0.015124335763074
371,8,C,NHB,0.604526425000,-0.000208149000,-0.000344317454775,0.000344317454775,0.000203020240171,NHB,0.000,0.001,0.796979759828772,0.203020240171228
372,8,C,NHB,0.604526425000,-0.000205485000,-0.000339910699520,0.000339910699520,0.000474252451240,NHB,0.000,0.001,0.525747548759704,0.474252451240296
373,8,C,NHB,0.604526425000,-0.000281522000,-0.000465690147457,0.000465690147457,0.000285991719617,NHB,0.000,0.001,0.714008280383390,0.285991719616610
374,8,C,NHB,0.604526425000,-0.000269080000,-0.000445108747728,0.000445108747728,0.000463960204485,NHB,0.000,0.001,0.536039795515461,0.463960204484539
375,8,C,NHB,0.604526425000,-0.000151830000,-0.000251155274147,0.000251155274147,0.000186171879702,NHB,0.000,0.001,0.813828120298057,0.186171879701943
376,8,C,NHB,0.604526425000,-0.000178391000,-0.000295092145889,0.000295092145889,0.000162838379230,NHB,0.000,0.001,0.837161620769767,0.162838379230233
377,8,C,NHB,0.604526425000,0.000009012000,0.000014907536920,-0.000014907536920,-0.000227969823013,NHB,-0.001,0.000,0.227969823012690,0.772030176987310
378,8,C,NHB,0.604526425000,-0.000000944000,-0.000001561552913,0.000001561552913,-0.000089612978126,NHB,-0.001,0.000,0.089612978125526,0.910387021874474
379,8,C,NHB,0.604526425000,0.000008904000,0.000014728884680,-0.000014728884680,-0.000111262167852,NHB,-0.001,0.000,0.111262167851593,0.888737832148407
380,8,C,NHB,0.604526425000,0.000131244000,0.000217102172167,-0.000217102172167,-0.000387662006438,NHB,-0.001,0.000,0.387662006438133,0.612337993561867
381,8,C,NHB,0.604526425000,0.000112594000,0.000186251577009,-0.000186251577009,-0.000231092931585,NHB,-0.001,0.000,0.231092931585319,0.768907068414681
382,8,C,NHB,0.604526425000,0.000106012000,0.000175363715490,-0.000175363715490,-0.000465908556510,NHB,-0.001,0.000,0.465908556509905,0.534091443490095
383,8,C,NHB,0.604526425000,0.000146388000,0.000242153186273,-0.000242153186273,-0.000319341042739,NHB,-0.001,0.000,0.319341042738628,0.680658957261372
384,8,C,NHB,0.610796623000,0.000096251000,0.000157582731102,-0.000157582731102,-0.000316505758719,NHB,-0.001,0.000,0.316505758718946,0.683494241281055
385,8,C,NHB,0.610796623000,0.000041008000,0.000067138550633,-0.000067138550633,-0.000552927643920,NHB,-0.001,0.000,0.552927643920111,0.447072356079889
386,8,C,NHB,0.610796623000,0.000154563000,0.000253051497307,-0.000253051497307,-0.000367751611204,NHB,-0.001,0.000,0.367751611203678,0.632248388796322
387,8,C,NHB,0.610796623000,-0.000409034000,-0.000669672988680,0.000669672988680,0.000493071366646,NHB,0.000,0.001,0.506928633354159,0.493071366645841
388,8,C,NHB,0.610796623000,-0.000234012000,-0.000383125890334,0.000383125890334,0.000244386550734,NHB,0.000,0.001,0.755613449266435,0.244386550733565
389,8,C,NHB,0.610796623000,-0.000540037000,-0.000884151908613,0.000884151908613,0.000506451954266,NHB,0.000,0.001,0.493548045734398,0.506451954265602
390,8,C,NHB,0.610796623000,-0.000115418000,-0.000188963061769,0.000188963061769,0.000138145260489,NHB,0.000,0.001,0.861854739511207,0.138145260488793
391,8,C,NHB,0.610796623000,0.000184578000,0.000302192240509,-0.000302192240509,-0.000418486875144,NHB,-0.001,0.000,0.418486875144135,0.581513124855865
392,8,C,NHB,0.610796623000,0.000119904000,0.000196307568649,-0.000196307568649,-0.000516545310751,NHB,-0.001,0.000,0.516545310750975,0.483454689249025
393,8,C,NHB,0.610796623000,-0.000050712000,-0.000083025999310,0.000083025999310,0.000330204859892,NHB,0.000,0.001,0.669795140107584,0.330204859892416
394,8,C,NHB,0.610796623000,-0.000313381000,-0.000513069306868,0.000513069306868,0.000465442604812,NHB,0.000,0.001,0.534557395188378,0.465442604811622
395,8,C,NHB,0.610796623000,-0.000287400000,-0.000470533053356,0.000470533053356,0.000410884352818,NHB,0.000,0.001,0.589115647181631,0.410884352818369
396,8,C,NHB,0.610796623000,-0.000051766000,-0.000084751614614,0.000084751614614,0.000319148985915,NHB,0.000,0.001,0.680851014085298,0.319148985914702
397,9,C,NHB,0.241185721000,0.000048940000,0.000202914168372,-0.000202914168372,-0.000601412500447,NHB,-0.001,0.000,0.601412500447269,0.398587499552731
398,9,C,NHB,0.241185721000,-0.000151128000,-0.000626604259047,0.000626604259047,0.000448368664986,NHB,0.000,0.001,0.551631335013630,0.448368664986370
399,9,C,NHB,0.241185721000,-0.000171970000,-0.000713018993359,0.000713018993359,0.000457762990429,NHB,0.000,0.001,0.542237009571150,0.457762990428850
400,9,C,NHB,0.617017436000,0.000157654000,0.000255509797295,-0.000255509797295,-0.000329451127296,NHB,-0.001,0.000,0.329451127295934,0.670548872704066
401,9,C,NHB,0.617017436000,0.000094794000,0.000153632611445,-0.000153632611445,-0.000191110557341,NHB,-0.001,0.000,0.191110557341252,0.808889442658748
402,9,C,NHB,0.517349488000,-0.000331979000,-0.000641691946547,0.000641691946547,0.000352528854574,NHB,0.000,0.001,0.647471145426344,0.352528854573656
403,9,C,NHB,0.517349488000,-0.000251691000,-0.000486500916379,0.000486500916379,0.000325795488975,NHB,0.000,0.001,0.674204511024810,0.325795488975190
404,9,C,NHB,0.517349488000,-0.000383188000,-0.000740675324685,0.000740675324685,0.000480958291035,NHB,0.000,0.001,0.519041708964664,0.480958291035336
405,9,C,NHB,0.517349488000,-0.000325020000,-0.000628240691329,0.000628240691329,0.000484388317797,NHB,0.000,0.001,0.515611682202645,0.484388317797355
406,9,C,NHB,0.517349488000,-0.000336342000,-0.000650125317221,0.000650125317221,0.000409365453319,NHB,0.000,0.001,0.590634546681117,0.409365453318883
407,9,C,NHB,0.517349488000,-0.000278571000,-0.000538458056810,0.000538458056810,0.000371018057245,NHB,0.000,0.001,0.628981942754907,0.371018057245093
408,9,C,NHB,0.517349488000,-0.000476924000,-0.000921860388504,0.000921860388504,0.000489113560609,NHB,0.000,0.001,0.510886439391392,0.489113560608608
409,9,C,NHB,0.517349488000,-0.000327325000,-0.000632696093438,0.000632696093438,0.000489620169024,NHB,0.000,0.001,0.510379830976168,0.489620169023832
410,9,C,NHB,0.517349488000,0.000175589000,0.000339401128392,-0.000339401128392,-0.000561985917605,NHB,-0.001,0.000,0.561985917604546,0.438014082395454
411,9,C,NHB,0.517349488000,-0.000046596000,-0.000090066775131,0.000090066775131,-0.000692210319054,NHB,-0.001,0.000,0.692210319054073,0.307789680945927
412,9,C,NHB,0.517349488000,0.000182160000,0.000352102407029,-0.000352102407029,-0.000430741223056,NHB,-0.001,0.000,0.430741223055681,0.569258776944319
413,9,C,NHB,0.517349488000,0.000038505000,0.000074427443910,-0.000074427443910,-0.000628936779785,NHB,-0.001,0.000,0.628936779784868,0.371063220215132
414,9,C,NHB,0.517349488000,0.000060007000,0.000115989290396,-0.000115989290396,-0.000246631750121,NHB,-0.001,0.000,0.246631750121418,0.753368249878582
415,9,C,NHB,0.517349488000,0.000046819000,0.000090497818372,-0.000090497818372,-0.000289592698099,NHB,-0.001,0.000,0.289592698099170,0.710407301900830
