segment,atom,element,hb_class,area_square_angstrom,charge_electron,raw_sigma_e_per_square_angstrom,cpcmx_averaged_sigma,cpcmx_pre_probability_partition,nist_hsieh_averaged_sigma,nist_pre_probability_partition,nist_left_bin,nist_right_bin,nist_left_area_weight,nist_right_area_weight
41,1,C,NHB,0.626409493000,-0.000089587000,-0.000143016670407,-0.002642836571522,NHB,-0.002460168287717,NHB,-0.003,-0.002,0.460168287717444,0.539831712282556
42,1,C,NHB,0.626409493000,0.000647676000,0.001033949847883,0.001859843061543,NHB,0.001619842704163,NHB,0.001,0.002,0.380157295837373,0.619842704162627
43,1,C,NHB,0.626409493000,0.000809044000,0.001291557693555,0.000909488615809,NHB,0.001110339853927,NHB,0.001,0.002,0.889660146073074,0.110339853926926
44,1,C,NHB,0.604526425000,0.001065824000,0.001763072639877,0.001654526829341,NHB,0.001660455638561,NHB,0.001,0.002,0.339544361439137,0.660455638560863
45,1,C,NHB,0.604526425000,0.000228344000,0.000377723769478,-0.000310752888899,NHB,-0.000370054787606,NHB,-0.001,0.000,0.370054787605636,0.629945212394364
46,1,C,NHB,0.604526425000,0.000357575000,0.000591496062393,0.002199924965977,NHB,0.002041666707730,NHB,0.002,0.003,0.958333292269681,0.041666707730319
47,1,C,NHB,0.604526425000,0.000041215000,0.000068177334018,0.000624898396711,NHB,0.000856501371237,NHB,0.000,0.001,0.143498628763472,0.856501371236528
48,1,C,NHB,0.604526425000,0.001092152000,0.001806624085953,0.001664600177784,NHB,0.001395071055754,NHB,0.001,0.002,0.604928944245529,0.395071055754471
49,1,C,NHB,0.604526425000,-0.000696564000,-0.001152247397622,-0.001686022465485,NHB,-0.001891553387575,NHB,-0.002,-0.001,0.891553387574945,0.108446612425055
50,1,C,NHB,0.604526425000,0.000265585000,0.000439327362737,0.002039878375531,NHB,0.001912677427578,NHB,0.001,0.002,0.087322572421643,0.912677427578357
51,1,C,NHB,0.604526425000,0.000595032000,0.000984294441719,0.000626143943649,NHB,0.000653129020393,NHB,0.000,0.001,0.346870979607090,0.653129020392910
52,1,C,NHB,0.604526425000,0.001103593000,0.001825549644087,0.001547011872753,NHB,0.001388156746615,NHB,0.001,0.002,0.611843253385097,0.388156746614903
53,1,C,NHB,0.604526425000,-0.001267733000,-0.002097067965226,-0.002734243680418,NHB,-0.002490538725233,NHB,-0.003,-0.002,0.490538725232718,0.509461274767282
54,1,C,NHB,0.604526425000,0.001206876000,0.001996399082141,0.001823718522300,NHB,0.001732272666158,NHB,0.001,0.002,0.267727333842459,0.732272666157541
55,1,C,NHB,0.604526425000,0.000752257000,0.001244374056932,0.001728608827308,NHB,0.001358069947511,NHB,0.001,0.002,0.641930052489436,0.358069947510564
56,1,C,NHB,0.604526425000,0.001028795000,0.001701819734348,0.001783552947125,NHB,0.001668082932349,NHB,0.001,0.002,0.331917067650949,0.668082932349051
57,1,C,NHB,0.604526425000,0.001147940000,0.001898907893067,0.001813967174518,NHB,0.001672429345903,NHB,0.001,0.002,0.327570654097335,0.672429345902665
