Temperature °C,NT,Stage,Phase,SAT wt%,MONO wt%,DI wt%,POLY wt%,PA wt%,NMP wt%,Trial classification
25.0,9,3,Raffinate,85.80727229,3.92939911,2.16930508,0.86768455,0.23316328,6.99317569,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,3,Extract,5.22244495,4.09482125,2.45259426,1.10163943,0.54985769,86.57864242,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,4,Raffinate,87.42412224,3.29935530,1.73771254,0.65874106,0.11458320,6.76548565,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,4,Extract,4.98923570,3.38104666,1.97072915,0.84035705,0.27418982,88.54444161,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,5,Raffinate,88.78353851,2.72805110,1.36709768,0.49328087,0.05198565,6.57604619,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,5,Extract,4.80320382,2.76089260,1.55596558,0.63238569,0.12600510,90.12154721,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,6,Raffinate,89.96920763,2.18921825,1.04574096,0.35619266,0.02751229,6.41212820,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,6,Extract,4.64700224,2.19317081,1.19472343,0.45889089,0.06746058,91.43875204,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,7,Raffinate,91.05296364,1.66418291,0.76137109,0.24304921,0.01301586,6.26541730,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,7,Extract,4.50980550,1.65217857,0.87336317,0.31471257,0.03226710,92.61767309,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,8,Raffinate,92.08279077,1.13195621,0.50045179,0.15064008,0.00546068,6.12870047,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,8,Extract,4.38400112,1.11428505,0.57659045,0.19609941,0.01368473,93.71533924,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,9,Raffinate,93.08483445,0.58839987,0.25092878,0.07531101,0.00184579,5.99868009,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,9,9,Extract,4.26585392,0.57451164,0.29048591,0.09859471,0.00467635,94.76587747,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,1,Raffinate,80.95580626,5.62018281,3.29977611,1.52349751,0.91280378,7.68793352,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,1,Extract,6.06414653,6.36588022,3.74447632,1.93081038,2.07980118,79.81488537,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,2,Raffinate,83.56340078,4.74578439,2.74182332,1.17656220,0.45589705,7.31653226,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,2,Extract,5.57743899,5.09109859,3.09487841,1.48775835,1.05550442,83.69332125,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,3,Raffinate,85.45364321,4.05918006,2.26663036,0.91698884,0.25962289,7.04393464,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,3,Extract,5.27578046,4.24651792,2.56140316,1.16324610,0.61039604,86.14265631,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,4,Raffinate,86.96972807,3.48245706,1.86101719,0.72040214,0.13650488,6.82989065,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,4,Extract,5.05370643,3.58435198,2.10847754,0.91768541,0.32529648,88.01048216,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,5,Raffinate,88.22397213,2.96769239,1.51248031,0.56348311,0.07955152,6.65282055,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,5,Extract,4.87820698,3.01881085,1.71870552,0.72084187,0.19178681,89.47164797,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,6,Raffinate,89.32986635,2.48863850,1.21088508,0.42956601,0.04112406,6.49992001,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,6,Extract,4.73029550,2.50700065,1.38042453,0.55189409,0.10020124,90.73018399,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,7,Raffinate,90.33514900,2.02396353,0.94563270,0.31304140,0.01927759,6.36293578,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,7,Extract,4.60048211,2.02157706,1.08172036,0.40394781,0.04744067,91.84483199,RESEARCH DIAGNOSTIC — NOT ACCEPTED
